NomenclatureCode,Tier,ProductCode,ProductDescription
S3,4,2237,Oil seeds/oil fruits nes
S3,4,2239,Oil seed/etc flour/meal
S3,2,23,Crude/synthet/rec rubber
S3,3,231,Natural rubber/latex/etc
S3,4,2310,  UN Special Code
S3,4,2311,Natural rubber latex
S3,4,2312,Natural rubber exc latex
S3,5,23120,  UN Special Code
S3,5,23121,Natural rubber - smoked
S3,5,23125,Tech spec natural rubber
S3,5,23129,Natural rubber nes
S3,4,2313,Balata/gutta percha/etc
S3,3,232,Rubber synth/waste/etc
S3,4,2320,  UN Special Code
S3,4,2321,Rubber synth from oil
S3,5,23210,  UN Special Code
S3,5,23211,Synthetic rubber sbr/xsbr
S3,5,23212,Synthetic rubber br
S3,5,23213,Synthetic rubber iir
S3,5,23214,Synthetic rubbr ciir/biir
S3,5,23215,Synthetic rubber nbr
S3,5,23216,Synthetic rubber ir
S3,5,23217,Synthetic rubber epdm
S3,5,23218,Nat/synth rubber mixture
S3,5,23219,Synthetic rubber nes
S3,4,2322,Reclaimed/waste rubber
S3,5,23221,Reclaimed rubber-primary
S3,5,23222,Scrap unhardened rubber
S3,2,24,Cork and wood
S3,3,240,  UN Special Code
S3,3,244,Cork natural/raw/waste
S3,4,2440,Cork natural/raw/waste
S3,5,24402,Cork simply worked
S3,5,24403,Cork natural/raw/prepd.
S3,5,24404,Cork waste/crushed/etc
S3,3,245,Fuel wood/wood charcoal
S3,4,2450,Fuel wood/wood charcoal
S3,5,24500,  UN Special Code
S3,5,24501,"Fuel wood in logs,etc"
S3,5,24502,Wood charcoal-natural
S3,3,246,Wood chips/waste
S3,4,2461,Wood chips/particles
S3,5,24611,Wood chips - coniferous
S3,5,24615,Wood chips - non-conifer
S3,4,2462,Wood waste(incl sawdust)
S3,3,247,Wood in rough/squared
S3,4,2470,  UN Special Code
S3,4,2473,"Wood poles,treated"
S3,4,2474,"Wood,conifer,rough,untrt"
S3,4,2475,"Hardwood,rough,untreated"
S3,5,24751,"Tropical hardwood,untrtd"
S3,5,24752,"Other hardwood,untreated"
S3,3,248,Wood simply worked
S3,4,2481,Wood railway sleepers
S3,5,24811,Railway sleepers untreat
S3,5,24819,Railway sleepers treated
S3,4,2482,"Softwood,simply worked"
S3,4,2483,Softwood shaped/grooved
S3,4,2484,Hardwood sawn >6mm thick
S3,4,2485,Hardwood shaped/grooved
S3,2,25,Pulp and waste paper
S3,3,251,Pulp and waste paper
S3,4,2510,  UN Special Code
S3,4,2511,Paper/board waste/scrap
S3,5,25110,  UN Special Code
S3,5,25111,Waste kraft/corr paper
S3,5,25112,Waste bleach pulp paper
S3,5,25113,Waste newsprint etc
S3,5,25119,Waste nes/unsorted
S3,4,2512,Mechanical wood pulp
S3,4,2513,Chem wood pulp disolving
S3,4,2514,Chem wood pulp non-disol
S3,5,25141,Conifer wood pulp unblch
S3,5,25142,Non-con wood pulp unblch
S3,4,2515,Chem wood pulp semi-blch
S3,5,25151,Conif wood pulp semi-blc
S3,5,25152,Non-co wood pulp semi-bl
S3,4,2516,Chem wood pulp sulphite
S3,5,25161,Wood pulp sulphite unblc
S3,5,25162,Wood pulp sulphite semib
S3,4,2519,Semi-chem wood pulp etc
S3,5,25191,Semi-chemical wood pulp
S3,5,25192,Pulp othr than wood pulp
S3,2,26,Textile fibres
S3,3,261,Silk
S3,4,2613,Raw silk not thrown
S3,4,2614,Silk worm cocoons/waste
S3,5,26141,Silk worm cocoons
S3,5,26142,Silk waste uncarded
S3,5,26149,Silk waste other
S3,3,263,Cotton
S3,4,2631,"Raw cotton,excl linters"
S3,4,2632,Cotton linters
S3,4,2633,Cotton waste
S3,5,26330,  UN Special Code
S3,5,26331,Cotton yarn waste
S3,5,26332,Cotton garnetted stock
S3,5,26339,Cotton waste n.e.s.
S3,4,2634,"Cotton,carded/combed"
S3,3,264,Jute/bast fibre raw/retd
S3,4,2641,"Jute/bast fibre,raw/rett"
S3,4,2649,Jute etc tow/waste etc
S3,3,265,Veg text fibre ex cot/ju
S3,4,2650,  UN Special Code
S3,4,2651,Flax unspun/tow/waste
S3,5,26510,  UN Special Code
S3,5,26511,"Flax,raw/retted"
S3,5,26512,"Flax,broken/scutched/etc"
S3,5,26513,Flax tow/waste
S3,4,2652,True hemp/waste
S3,5,26521,True hemp raw/retted
S3,5,26529,True hemp/tow/waste nes
